id_alat,tanggal,jam,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,
10058,2025-05-11,00:00:00,3.804,4.14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,46.50,10.55,36.00,
10058,2025-05-11,00:01:00,3.809,4.14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.46,36.00,
10058,2025-05-11,00:02:00,3.835,4.11,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.61,36.00,
10058,2025-05-11,00:03:00,3.841,4.10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.58,36.00,
10058,2025-05-11,00:04:00,3.856,4.09,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.61,36.00,
10058,2025-05-11,00:05:00,3.858,4.09,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.55,36.00,
10058,2025-05-11,00:06:00,3.868,4.08,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.61,36.00,
10058,2025-05-11,00:07:00,3.885,4.06,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.40,36.00,
10058,2025-05-11,00:08:00,3.897,4.05,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.55,36.00,
10058,2025-05-11,00:09:00,3.905,4.04,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,36.00,
10058,2025-05-11,00:10:00,3.920,4.03,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,36.00,
10058,2025-05-11,00:11:00,3.933,4.01,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.49,36.00,
10058,2025-05-11,00:12:00,3.940,4.01,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.52,35.90,
10058,2025-05-11,00:13:00,3.954,3.99,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.90,
10058,2025-05-11,00:14:00,3.941,4.00,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.90,
10058,2025-05-11,00:15:00,3.960,3.99,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.50,10.46,35.90,
10058,2025-05-11,00:16:00,3.963,3.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.52,35.90,
10058,2025-05-11,00:17:00,3.970,3.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,35.90,
10058,2025-05-11,00:18:00,3.987,3.96,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,35.90,
10058,2025-05-11,00:19:00,3.992,3.95,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,35.90,
10058,2025-05-11,00:20:00,3.984,3.96,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.61,35.90,
10058,2025-05-11,00:21:00,4.013,3.93,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.52,35.90,
10058,2025-05-11,00:22:00,4.009,3.94,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.52,35.90,
10058,2025-05-11,00:23:00,4.020,3.93,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.40,35.90,
10058,2025-05-11,00:24:00,4.021,3.92,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.34,35.90,
10058,2025-05-11,00:25:00,4.013,3.93,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.80,
10058,2025-05-11,00:26:00,4.031,3.92,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.90,
10058,2025-05-11,00:57:00,4.011,3.93,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,46.60,10.40,35.60,
10058,2025-05-11,00:58:00,4.007,3.94,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.40,35.60,
10058,2025-05-11,00:59:00,3.997,3.95,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.60,
10058,2025-05-11,01:00:00,3.998,3.95,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.46,35.60,
10058,2025-05-11,01:01:00,3.995,3.95,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.49,35.60,
10058,2025-05-11,01:02:00,3.996,3.95,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.43,35.60,
10058,2025-05-11,01:03:00,3.987,3.96,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.49,35.60,
10058,2025-05-11,01:04:00,3.982,3.96,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.61,35.60,
10058,2025-05-11,01:05:00,3.985,3.96,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.46,35.60,
10058,2025-05-11,01:06:00,3.973,3.97,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.40,35.60,
10058,2025-05-11,01:07:00,3.973,3.97,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.49,35.60,
10058,2025-05-11,01:08:00,3.956,3.99,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.60,10.46,35.60,
10058,2025-05-11,01:09:00,3.969,3.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.55,35.60,
10058,2025-05-11,01:10:00,3.968,3.98,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.40,35.50,
10058,2025-05-11,01:11:00,3.960,3.99,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.43,35.60,
10058,2025-05-11,01:43:00,3.799,4.15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,46.70,10.49,35.30,
10058,2025-05-11,01:44:00,3.799,4.15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.49,35.30,
10058,2025-05-11,01:45:00,3.791,4.15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.55,35.30,
10058,2025-05-11,01:46:00,3.795,4.15,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.70,10.46,35.30,
10058,2025-05-11,01:48:00,3.779,4.17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,46.80,10.52,35.10,
10058,2025-05-11,01:49:00,3.778,4.17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.34,35.00,
10058,2025-05-11,01:50:00,3.778,4.17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.63,35.00,
10058,2025-05-11,01:51:00,3.776,4.17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.34,35.00,
10058,2025-05-11,01:52:00,3.768,4.18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.20,10.61,35.00,
10058,2025-05-11,01:53:00,3.763,4.18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.20,10.61,35.00,
10058,2025-05-11,01:54:00,3.763,4.18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.20,10.55,35.00,
10058,2025-05-11,01:55:00,3.763,4.18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.20,10.46,35.00,
10058,2025-05-11,01:56:00,3.756,4.19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.20,10.55,35.00,
10058,2025-05-11,01:57:00,3.740,4.21,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.61,35.00,
10058,2025-05-11,01:58:00,3.742,4.20,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.40,35.00,
10058,2025-05-11,01:59:00,3.739,4.21,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.31,35.00,
10058,2025-05-11,02:00:00,3.739,4.21,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,47.10,10.55,35.00,
10058,2025-05-11,02:32:00,3.615,4.33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,46.90,10.49,34.80,
10058,2025-05-11,02:33:00,3.611,4.33,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.40,34.80,
10058,2025-05-11,02:34:00,3.610,4.34,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.37,34.80,
10058,2025-05-11,02:35:00,3.610,4.34,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.37,34.80,
10058,2025-05-11,02:36:00,3.604,4.34,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.40,34.80,
10058,2025-05-11,02:37:00,3.608,4.34,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.52,34.80,
10058,2025-05-11,02:38:00,3.592,4.35,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,46.90,10.40,34.80,
